# N = 100
# h = 0.1
# t0 = 0
# tf = 10
# time, Sun, Earth
0             -0.0001184353 -5.921763e-05 
0.1           -0.0001161932 -5.893316e-05 
0.2           -0.0001109752 -5.840903e-05 
0.3           -0.0001055069 -5.802081e-05 
0.4           -0.0001015554 -5.781724e-05 
0.5           -9.980106e-05 -5.774338e-05 
0.6           -0.0001004105 -5.7768e-05   
0.7           -0.0001033345 -5.790205e-05 
0.8           -0.0001082047 -5.819482e-05 
0.9           -0.00011385   -5.867608e-05 
1             -0.0001178765 -5.914291e-05 
1.1           -0.0001178141 -5.913473e-05 
1.2           -0.0001137061 -5.866151e-05 
1.3           -0.0001080556 -5.818436e-05 
1.4           -0.0001032274 -5.789665e-05 
1.5           -0.0001003631 -5.776605e-05 
1.6           -9.981751e-05 -5.774403e-05 
1.7           -0.0001016345 -5.782079e-05 
1.8           -0.0001056393 -5.802863e-05 
1.9           -0.0001111299 -5.842218e-05 
2             -0.0001163049 -5.894639e-05 
2.1           -0.0001184335 -5.921739e-05 
2.2           -0.0001160794 -5.891977e-05 
2.3           -0.0001108203 -5.8396e-05   
2.4           -0.0001053758 -5.801313e-05 
2.5           -0.000101478  -5.781378e-05 
2.6           -9.978634e-05 -5.77428e-05  
2.7           -0.0001004596 -5.777003e-05 
2.8           -0.000103443  -5.790757e-05 
2.9           -0.0001083546 -5.820543e-05 
3             -0.0001139927 -5.869066e-05 
3.1           -0.0001179358 -5.915071e-05 
3.2           -0.0001177486 -5.912618e-05 
3.3           -0.0001135612 -5.864697e-05 
3.4           -0.0001079071 -5.817405e-05 
3.5           -0.0001031218 -5.789135e-05 
3.6           -0.0001003174 -5.776417e-05 
3.7           -9.983568e-05 -5.774475e-05 
3.8           -0.0001017152 -5.782443e-05 
3.9           -0.0001057727 -5.803659e-05 
4             -0.0001112846 -5.843545e-05 
4.1           -0.0001164142 -5.895944e-05 
4.2           -0.0001184283 -5.921668e-05 
4.3           -0.0001159634 -5.890622e-05 
4.4           -0.0001106653 -5.83831e-05  
4.5           -0.0001052458 -5.800559e-05 
4.6           -0.0001014022 -5.781041e-05 
4.7           -9.977333e-05 -5.774228e-05 
4.8           -0.0001005103 -5.777214e-05 
4.9           -0.0001035529 -5.791321e-05 
5             -0.000108505  -5.821619e-05 
5.1           -0.0001141342 -5.870525e-05 
5.2           -0.0001179918 -5.915812e-05 
5.3           -0.00011768   -5.911726e-05 
5.4           -0.0001134152 -5.863246e-05 
5.5           -0.0001077593 -5.816389e-05 
5.6           -0.0001030177 -5.788617e-05 
5.7           -0.0001002735 -5.776237e-05 
5.8           -9.985558e-05 -5.774554e-05 
5.9           -0.0001017974 -5.782816e-05 
6             -0.0001059074 -5.804469e-05 
6.1           -0.000111439  -5.844884e-05 
6.2           -0.0001165212 -5.89723e-05  
6.3           -0.0001184196 -5.92155e-05  
6.4           -0.0001158452 -5.889252e-05 
6.5           -0.0001105104 -5.837033e-05 
6.6           -0.000105117  -5.799818e-05 
6.7           -0.000101328  -5.780714e-05 
6.8           -9.976205e-05 -5.774184e-05 
6.9           -0.0001005628 -5.777432e-05 
7             -0.0001036643 -5.791896e-05 
7.1           -0.000108656  -5.82271e-05  
7.2           -0.0001142744 -5.871984e-05 
7.3           -0.0001180447 -5.916512e-05 
7.4           -0.0001176084 -5.910799e-05 
7.5           -0.0001132683 -5.861799e-05 
7.6           -0.0001076123 -5.815387e-05 
7.7           -0.0001029151 -5.78811e-05  
7.8           -0.0001002312 -5.776064e-05 
7.9           -9.987719e-05 -5.77464e-05  
8             -0.0001018813 -5.7832e-05   
8.1           -0.0001060431 -5.805293e-05 
8.2           -0.0001115932 -5.846234e-05 
8.3           -0.0001166258 -5.898495e-05 
8.4           -0.0001184075 -5.921385e-05 
8.5           -0.000115725  -5.887869e-05 
8.6           -0.0001103555 -5.835769e-05 
8.7           -0.0001049895 -5.79909e-05  
8.8           -0.0001012554 -5.780395e-05 
8.9           -9.97525e-05  -5.774146e-05 
9             -0.0001006169 -5.777658e-05 
9.1           -0.0001037771 -5.792484e-05 
9.2           -0.0001088075 -5.823816e-05 
9.3           -0.0001144133 -5.873443e-05 
9.4           -0.0001180943 -5.917172e-05 
9.5           -0.0001175338 -5.909838e-05 
9.6           -0.0001131204 -5.860357e-05 
9.7           -0.0001074661 -5.814401e-05 
9.8           -0.000102814  -5.787614e-05 
9.9           -0.0001001906 -5.775899e-05 
10            -9.990052e-05 -5.774732e-05 
